delivery_id,customer_name,rider_id,city,delivery_time_min,sla_limit_min,delivery_status,complaint,refund_amount,delivery_date,payment_method,delivery_time_normalized,delivery_time_zscore
1001,Aarav Sharma,R001,Delhi,28.0,30,On Time,No,0,2026-07-01,UPI,0.5733333333333334,-0.4291520976166917
1002,Priya Singh,R002,Mumbai,42.0,30,Delayed,Yes,120,2026-07-01,Card,0.76,0.6092900151348094
1003,Rahul Verma,R003,Bangalore,25.0,30,On Time,No,0,2026-07-02,Cash,0.5333333333333333,-0.6516754074920134
1004,Neha Gupta,R004,Delhi,55.0,30,Delayed,Yes,200,2026-07-02,UPI,0.9333333333333333,1.5735576912612033
1005,Aarav Sharma,R005,Delhi,31.0,30,Delayed,No,0,2026-07-03,UPI,0.6133333333333333,-0.20662878774137003
1006,Riya Patel,R006,Pune,22.0,30,On Time,No,0,2026-07-03,Card,0.49333333333333335,-0.874198717367335
1007,Mohit Kumar,R007,Mumbai,48.0,30,Delayed,Yes,150,2026-07-04,Cash,0.84,1.0543366348854528
1007,Mohit Kumar,R007,Mumbai,48.0,30,Delayed,Yes,150,2026-07-04,Cash,0.84,1.0543366348854528
1009,Sneha Iyer,R008,Chennai,27.0,30,On Time,No,0,2026-07-05,UPI,0.56,-0.503326534241799
1010,Vikram Rao,R009,Hyderabad,35.0,30,Delayed,No,0,2026-07-05,Card,0.6666666666666666,0.09006895875905885
1011,Ananya Mehta,R010,Delhi,,30,,No,0,2026-07-06,UPI,,0.0
1012,Karan Joshi,R011,Pune,29.0,30,On Time,,0,2026-07-06,Cash,0.5866666666666667,-0.3549776609915845
1013,Rohit Das,R012,Mumbai,-15.0,30,On Time,No,0,2026-07-07,Card,0.0,-3.6186528724963023
1014,Meera Shah,R013,Delhi,33.0,30,Delayed,Yes,-50,2026-07-07,UPI,0.64,-0.0582799144911556
1015,Arjun Nair,R014,Bangalore,24.0,30,On Time,No,0,2026-07-08,UPI,0.52,-0.7258498441171206
1016,Priya Singh,R015,Mumbai,44.0,30,Delayed,Yes,100,2026-07-08,Card,0.7866666666666666,0.7576388883850238
1017,Sneha Iyer,R016,Chennai,,30,Delayed,Yes,80,2026-07-09,UPI,,0.0
1018,Vikram Rao,R017,Hyderabad,38.0,30,Delayed,No,0,2026-07-09,Cash,0.7066666666666667,0.3125922686343805
1019,Aarav Sharma,R018,Delhi,26.0,30,On Time,No,0,2026-07-10,UPI,0.5466666666666666,-0.5775009708669061
1020,Ananya Mehta,R019,Delhi,41.0,30,Delayed,Yes,90,2026-07-10,Card,0.7466666666666667,0.5351155785097022
1021,Rahul Verma,R020,Bangalore,29.0,30,On Time,No,0,2026-07-11,Cash,0.5866666666666667,-0.3549776609915845
1022,Neha Gupta,R021,Delhi,60.0,30,Delayed,Yes,250,2026-07-11,UPI,1.0,1.9444298743867394
1023,Riya Patel,R022,Pune,23.0,30,On Time,No,0,2026-07-12,Card,0.5066666666666667,-0.8000242807422279
1024,Karan Joshi,R023,Pune,34.0,30,Delayed,No,0,2026-07-12,Cash,0.6533333333333333,0.015894522133951622
1025,Rohit Das,R024,Mumbai,39.0,30,Delayed,Yes,110,2026-07-13,UPI,0.72,0.38676670525948775
1026,Priya  Singh,R025,Mumbai,32.0,30,Delayed,No,0,2026-07-13,Card,0.6266666666666667,-0.13245435111626283
1027,PRIYA SINGH,R026,Mumbai,30.0,30,On Time,No,0,2026-07-14,UPI,0.6,-0.28080322436647726
1028,Meera Shah,R027,Delhi,45.0,30,Delayed,Yes,140,2026-07-14,Card,0.8,0.831813325010131
1029,Arjun Nair,R028,Bangalore,21.0,30,On Time,No,0,2026-07-15,UPI,0.48,-0.9483731539924423
1030,Sneha Iyer,R029,Chennai,52.0,30,Delayed,Yes,180,2026-07-15,Cash,0.8933333333333333,1.3510343813858816
